Id,"Medicine Name",Description,Quantity,"Unit Price","Cost Price"
1,"Medicine 1","Sample description for Medicine 1",371,39,14469
2,"Medicine 2","Sample description for Medicine 2",465,163,75795
3,"Medicine 3","Sample description for Medicine 3",373,46,17158
4,"Medicine 4","Sample description for Medicine 4",232,23,5336
5,"Medicine 5","Sample description for Medicine 5",267,164,43788
6,"Medicine 6","Sample description for Medicine 6",213,141,30033
7,"Medicine 7","Sample description for Medicine 7",327,13,4251
8,"Medicine 8","Sample description for Medicine 8",364,165,60060
9,"Medicine 9","Sample description for Medicine 9",157,174,27318
10,"Medicine 10","Sample description for Medicine 10",7,110,770
11,"Medicine 11","Sample description for Medicine 11",403,196,78988
12,"Medicine 12","Sample description for Medicine 12",480,177,84960
13,"Medicine 13","Sample description for Medicine 13",143,74,10582
14,"Medicine 14","Sample description for Medicine 14",313,139,43507
15,"Medicine 15","Sample description for Medicine 15",71,152,10792
16,"Medicine 16","Sample description for Medicine 16",325,21,6825
17,"Medicine 17","Sample description for Medicine 17",58,156,9048
18,"Medicine 18","Sample description for Medicine 18",420,140,58800
19,"Medicine 19","Sample description for Medicine 19",321,75,24075
20,"Medicine 20","Sample description for Medicine 20",88,192,16896
21,"Medicine 21","Sample description for Medicine 21",99,96,9504
22,"Medicine 22","Sample description for Medicine 22",336,115,38640
23,"Medicine 23","Sample description for Medicine 23",484,125,60500
24,"Medicine 24","Sample description for Medicine 24",198,57,11286
25,"Medicine 25","Sample description for Medicine 25",285,170,48450
26,"Medicine 26","Sample description for Medicine 26",166,49,8134
27,"Medicine 27","Sample description for Medicine 27",188,52,9776
28,"Medicine 28","Sample description for Medicine 28",329,65,21385
29,"Medicine 29","Sample description for Medicine 29",101,37,3737
30,"Medicine 30","Sample description for Medicine 30",471,112,52752
31,"Medicine 31","Sample description for Medicine 31",176,58,10208
32,"Medicine 32","Sample description for Medicine 32",357,107,38199
33,"Medicine 33","Sample description for Medicine 33",220,41,9020
34,"Medicine 34","Sample description for Medicine 34",27,70,1890
35,"Medicine 35","Sample description for Medicine 35",153,67,10251
36,"Medicine 36","Sample description for Medicine 36",377,97,36569
37,"Medicine 37","Sample description for Medicine 37",317,84,26628
38,"Medicine 38","Sample description for Medicine 38",150,26,3900
39,"Medicine 39","Sample description for Medicine 39",34,106,3604
40,"Medicine 40","Sample description for Medicine 40",207,183,37881
41,"Medicine 41","Sample description for Medicine 41",22,198,4356
42,"Medicine 42","Sample description for Medicine 42",400,149,59600
43,"Medicine 43","Sample description for Medicine 43",118,137,16166
44,"Medicine 44","Sample description for Medicine 44",369,105,38745
45,"Medicine 45","Sample description for Medicine 45",260,43,11180
46,"Medicine 46","Sample description for Medicine 46",358,31,11098
47,"Medicine 47","Sample description for Medicine 47",102,146,14892
48,"Medicine 48","Sample description for Medicine 48",481,12,5772
49,"Medicine 49","Sample description for Medicine 49",356,82,29192
50,"Medicine 50","Sample description for Medicine 50",492,183,90036
51,"Medicine 51","Sample description for Medicine 51",201,27,5427
52,"Medicine 52","Sample description for Medicine 52",152,66,10032
53,"Medicine 53","Sample description for Medicine 53",261,111,28971
54,"Medicine 54","Sample description for Medicine 54",493,32,15776
55,"Medicine 55","Sample description for Medicine 55",465,124,57660
56,"Medicine 56","Sample description for Medicine 56",432,61,26352
57,"Medicine 57","Sample description for Medicine 57",372,21,7812
58,"Medicine 58","Sample description for Medicine 58",354,42,14868
59,"Medicine 59","Sample description for Medicine 59",407,110,44770
60,"Medicine 60","Sample description for Medicine 60",478,88,42064
61,"Medicine 61","Sample description for Medicine 61",365,120,43800
62,"Medicine 62","Sample description for Medicine 62",482,142,68444
63,"Medicine 63","Sample description for Medicine 63",462,123,56826
64,"Medicine 64","Sample description for Medicine 64",254,96,24384
65,"Medicine 65","Sample description for Medicine 65",380,181,68780
66,"Medicine 66","Sample description for Medicine 66",477,41,19557
67,"Medicine 67","Sample description for Medicine 67",173,45,7785
68,"Medicine 68","Sample description for Medicine 68",254,191,48514
69,"Medicine 69","Sample description for Medicine 69",143,145,20735
70,"Medicine 70","Sample description for Medicine 70",225,26,5850
71,"Medicine 71","Sample description for Medicine 71",135,70,9450
72,"Medicine 72","Sample description for Medicine 72",381,111,42291
73,"Medicine 73","Sample description for Medicine 73",329,136,44744
74,"Medicine 74","Sample description for Medicine 74",203,45,9135
75,"Medicine 75","Sample description for Medicine 75",448,68,30464
76,"Medicine 76","Sample description for Medicine 76",265,196,51940
77,"Medicine 77","Sample description for Medicine 77",76,70,5320
78,"Medicine 78","Sample description for Medicine 78",137,31,4247
79,"Medicine 79","Sample description for Medicine 79",76,28,2128
80,"Medicine 80","Sample description for Medicine 80",75,174,13050
81,"Medicine 81","Sample description for Medicine 81",53,16,848
82,"Medicine 82","Sample description for Medicine 82",63,105,6615
83,"Medicine 83","Sample description for Medicine 83",432,156,67392
84,"Medicine 84","Sample description for Medicine 84",166,111,18426
85,"Medicine 85","Sample description for Medicine 85",244,192,46848
86,"Medicine 86","Sample description for Medicine 86",184,78,14352
87,"Medicine 87","Sample description for Medicine 87",174,23,4002
88,"Medicine 88","Sample description for Medicine 88",62,56,3472
89,"Medicine 89","Sample description for Medicine 89",356,135,48060
90,"Medicine 90","Sample description for Medicine 90",69,181,12489
91,"Medicine 91","Sample description for Medicine 91",373,81,30213
92,"Medicine 92","Sample description for Medicine 92",265,122,32330
93,"Medicine 93","Sample description for Medicine 93",331,28,9268
94,"Medicine 94","Sample description for Medicine 94",202,90,18180
95,"Medicine 95","Sample description for Medicine 95",296,77,22792
96,"Medicine 96","Sample description for Medicine 96",201,131,26331
97,"Medicine 97","Sample description for Medicine 97",9,25,225
98,"Medicine 98","Sample description for Medicine 98",404,163,65852
99,"Medicine 99","Sample description for Medicine 99",56,103,5768
100,"Medicine 100","Sample description for Medicine 100",322,28,9016
101,"Medicine 101","Sample description for Medicine 101",119,17,2023
102,"Medicine 102","Sample description for Medicine 102",175,120,21000
103,"Medicine 103","Sample description for Medicine 103",71,114,8094
104,"Medicine 104","Sample description for Medicine 104",89,35,3115
105,"Medicine 105","Sample description for Medicine 105",349,128,44672
106,"Medicine 106","Sample description for Medicine 106",434,136,59024
107,"Medicine 107","Sample description for Medicine 107",260,160,41600
108,"Medicine 108","Sample description for Medicine 108",492,77,37884
109,"Medicine 109","Sample description for Medicine 109",133,114,15162
110,"Medicine 110","Sample description for Medicine 110",257,170,43690
111,"Medicine 111","Sample description for Medicine 111",312,19,5928
112,"Medicine 112","Sample description for Medicine 112",149,155,23095
113,"Medicine 113","Sample description for Medicine 113",5,18,90
114,"Medicine 114","Sample description for Medicine 114",420,149,62580
115,"Medicine 115","Sample description for Medicine 115",167,93,15531
116,"Medicine 116","Sample description for Medicine 116",425,109,46325
117,"Medicine 117","Sample description for Medicine 117",34,171,5814
118,"Medicine 118","Sample description for Medicine 118",248,70,17360
119,"Medicine 119","Sample description for Medicine 119",1,54,54
120,"Medicine 120","Sample description for Medicine 120",257,29,7453
121,"Medicine 121","Sample description for Medicine 121",38,150,5700
122,"Medicine 122","Sample description for Medicine 122",10,189,1890
123,"Medicine 123","Sample description for Medicine 123",218,107,23326
124,"Medicine 124","Sample description for Medicine 124",246,191,46986
125,"Medicine 125","Sample description for Medicine 125",462,18,8316
126,"Medicine 126","Sample description for Medicine 126",436,112,48832
127,"Medicine 127","Sample description for Medicine 127",456,134,61104
128,"Medicine 128","Sample description for Medicine 128",196,11,2156
129,"Medicine 129","Sample description for Medicine 129",194,53,10282
130,"Medicine 130","Sample description for Medicine 130",488,150,73200
131,"Medicine 131","Sample description for Medicine 131",264,123,32472
132,"Medicine 132","Sample description for Medicine 132",45,191,8595
133,"Medicine 133","Sample description for Medicine 133",291,166,48306
134,"Medicine 134","Sample description for Medicine 134",95,132,12540
135,"Medicine 135","Sample description for Medicine 135",223,62,13826
136,"Medicine 136","Sample description for Medicine 136",1,185,185
137,"Medicine 137","Sample description for Medicine 137",25,159,3975
138,"Medicine 138","Sample description for Medicine 138",486,191,92826
139,"Medicine 139","Sample description for Medicine 139",408,96,39168
140,"Medicine 140","Sample description for Medicine 140",500,95,47500
141,"Medicine 141","Sample description for Medicine 141",407,69,28083
142,"Medicine 142","Sample description for Medicine 142",21,122,2562
143,"Medicine 143","Sample description for Medicine 143",484,168,81312
144,"Medicine 144","Sample description for Medicine 144",28,32,896
145,"Medicine 145","Sample description for Medicine 145",66,125,8250
146,"Medicine 146","Sample description for Medicine 146",154,177,27258
147,"Medicine 147","Sample description for Medicine 147",136,56,7616
148,"Medicine 148","Sample description for Medicine 148",30,10,300
149,"Medicine 149","Sample description for Medicine 149",143,56,8008
150,"Medicine 150","Sample description for Medicine 150",393,137,53841
151,"Medicine 151","Sample description for Medicine 151",372,155,57660
152,"Medicine 152","Sample description for Medicine 152",454,11,4994
153,"Medicine 153","Sample description for Medicine 153",109,20,2180
154,"Medicine 154","Sample description for Medicine 154",276,36,9936
155,"Medicine 155","Sample description for Medicine 155",212,196,41552
156,"Medicine 156","Sample description for Medicine 156",288,159,45792
157,"Medicine 157","Sample description for Medicine 157",111,97,10767
158,"Medicine 158","Sample description for Medicine 158",301,27,8127
159,"Medicine 159","Sample description for Medicine 159",458,145,66410
160,"Medicine 160","Sample description for Medicine 160",225,30,6750
161,"Medicine 161","Sample description for Medicine 161",376,194,72944
162,"Medicine 162","Sample description for Medicine 162",173,108,18684
163,"Medicine 163","Sample description for Medicine 163",236,53,12508
164,"Medicine 164","Sample description for Medicine 164",423,103,43569
165,"Medicine 165","Sample description for Medicine 165",168,146,24528
166,"Medicine 166","Sample description for Medicine 166",174,39,6786
167,"Medicine 167","Sample description for Medicine 167",287,155,44485
168,"Medicine 168","Sample description for Medicine 168",28,112,3136
169,"Medicine 169","Sample description for Medicine 169",406,97,39382
170,"Medicine 170","Sample description for Medicine 170",349,66,23034
171,"Medicine 171","Sample description for Medicine 171",336,155,52080
172,"Medicine 172","Sample description for Medicine 172",133,197,26201
173,"Medicine 173","Sample description for Medicine 173",327,37,12099
174,"Medicine 174","Sample description for Medicine 174",320,162,51840
175,"Medicine 175","Sample description for Medicine 175",428,164,70192
176,"Medicine 176","Sample description for Medicine 176",65,33,2145
177,"Medicine 177","Sample description for Medicine 177",296,77,22792
178,"Medicine 178","Sample description for Medicine 178",73,192,14016
179,"Medicine 179","Sample description for Medicine 179",477,193,92061
180,"Medicine 180","Sample description for Medicine 180",483,12,5796
181,"Medicine 181","Sample description for Medicine 181",322,110,35420
